"GeoFips","GeoName","LineCode","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","1","All industry total",61573299,63354358,65189131,67771615,73119547,81079215,85154743,88561453,86640983,92266233,96340214,99254274,103181110,108459112,116349089,121266147,127337977,134416765
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","2","  Private industries",50991486,52215612,53981288,56663425,61707331,69402007,73087391,76096118,73736550,79047472,83297299,86120209,89856748,95137288,102772030,107325021,113167846,120143613
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","3","    Agriculture, forestry, fishing and hunting",30633,36548,74703,125712,99250,137847,115713,62807,82144,48455,30780,60176,78511,38964,56228,85658,54296,73134
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","6","    Mining, quarrying, and oil and gas extraction",429881,410633,391156,401927,668908,845030,814812,721124,872644,811231,1099173,1090154,1018098,1178922,1454393,1303397,1230714,1230727
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","10","    Utilities",453440,570594,606629,501986,653906,769714,758082,787098,730989,725645,756885,792281,637305,664827,740633,727157,631238,"(D)"
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","11","    Construction",6820507,6551395,5703265,3961286,4268109,5187106,5814968,5067621,4292154,4055938,4033457,4417061,4755765,5054755,5798491,6368921,6790285,7041336
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","12","    Manufacturing",4014625,4524919,4928515,6442675,7413827,10530200,10122519,12117237,11161359,13226412,13904000,12668695,13196141,13268132,14973092,15651783,16757725,17733505
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","13","      Durable goods manufacturing","(D)","(D)",4059143,5385687,6273348,9142336,8822980,10938000,10135460,12140442,12837728,11567345,11799504,11691667,12983886,13997884,14984412,15804048
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","25","      Nondurable goods manufacturing","(D)","(D)",1207304,1393895,1443806,1612096,1491578,1227026,1051234,1089885,1061545,1101350,1396643,1576150,1983783,1660638,1780343,1932575
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","34","    Wholesale trade",7023867,5822068,6322700,7182681,7943370,8172287,9446218,9910257,9215071,10159799,11010524,11846633,11782009,11676600,12891564,13211915,14033724,14005844
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","35","    Retail trade",4690068,4890156,5112207,4820207,5252017,5465619,5424823,5377720,5425669,5630584,5652841,5858068,6175205,6554214,6875430,7169928,7448544,7983229
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","36","    Transportation and warehousing",797171,803414,832431,991991,1108589,1193328,"(D)",1221015,1185117,1209301,1370883,1553874,1613560,1839547,1892658,1891173,2141492,2377359
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","45","    Information",3658518,4466223,4674517,5073698,5278025,5177481,6161416,5882074,5533164,5917372,5989552,6099462,6722032,6953536,7787543,8306338,9266014,"(D)"
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","50","    Finance, insurance, real estate, rental, and leasing",9325866,9459480,9878070,9694285,10659921,11238210,11796880,11906247,12209066,12774199,13435028,14215642,14986093,16439056,16531060,17226277,17625538,18435171
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","51","      Finance and insurance",3232759,3269627,3514805,3378498,3734502,3995260,3894912,3888634,4460477,4574425,4573793,4935533,5222271,5341248,5799925,6064171,5882738,6186465
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","56","      Real estate and rental and leasing",6083512,6180166,6352718,6306606,6914947,7231223,7890712,8005764,7761242,8206643,8859805,9280109,9763700,11111467,10722887,11152318,11758098,12261244
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","59","    Professional and business services",8495861,8184084,8394329,8759226,9339175,9944928,"(D)",11517757,11385842,12445110,13446956,14377920,15367907,16959583,18531701,19711359,21062567,"(D)"
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","60","      Professional, scientific, and technical services","(D)",5952274,6032178,6113642,"(D)",7090558,7631884,8377861,8380456,9103222,9806305,10669731,11379047,12614153,13977207,"(D)","(D)","(D)"
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","64","      Management of companies and enterprises","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",652767,"(D)","(D)"
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","65","      Administrative and support and waste management and remediation services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",4339977,4523323
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","68","    Educational services, health care, and social assistance",4154526,4376440,4487119,4691658,4691556,4998033,5127764,5603174,5999597,6168625,6386846,6700861,6838106,7162854,7683420,7920270,8167565,8552499
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","69","      Educational services","(D)","(D)","(D)","(D)",508147,542606,572003,633054,705678,760284,803520,830338,833198,880848,936564,978946,974849,1006069
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","70","      Health care and social assistance","(D)","(D)","(D)","(D)",4180313,4452217,4553357,4967888,5292555,5408065,5583426,5870523,6005054,6281911,6747144,6940869,7194476,7549395
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","75","    Arts, entertainment, recreation, accommodation, and food services",2615566,2690642,2805955,2959673,3065690,3360846,3523824,3533831,3382940,3520666,3810500,3990528,4134235,4626992,4861704,4941850,5144452,5363563
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","76","      Arts, entertainment, and recreation",431173,452401,456125,501732,501529,529538,536248,527611,554475,584183,677090,"(D)","(D)",742148,749320,818920,865626,913671
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","79","      Accommodation and food services",2182386,2235631,2348162,2454525,2562183,2830806,2988461,3007687,2828284,2936215,3132661,"(D)","(D)",3885695,4112584,4124919,4281458,4453237
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","82","    Other services (except government and government enterprises)",2214677,2246610,2203913,2223926,2307181,2383216,2406421,2412662,2370121,2333880,2342884,2448854,2555988,2684934,2744611,2787338,2854245,2993785
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","83","Government and government enterprises",10911218,11558620,11568897,11355722,11567318,11689104,12056313,12446398,12922513,13224761,13043491,13134066,13328014,13346800,13637645,14016491,14277932,14434132
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","","Addenda:","","","","","","","","","","","","","","","","","",""
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","87","Natural resources and mining",436164,426525,457599,531500,762799,974600,924036,781538,951302,858646,1131546,1150330,1096641,1218494,1513203,1405116,1291853,1313602
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","88","Trade",11747507,10812738,11529199,12040929,13232840,13679512,14877437,15280883,14643156,15791227,16663207,17704701,17956616,18228527,19764588,20379439,21481096,21976612
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","89","Transportation and utilities",1252374,1380919,1446731,1492722,1766906,1973549,"(D)",2018972,1923627,1940602,2129535,2346155,2250576,2502740,2632669,2617939,2777622,"(D)"
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","90","Manufacturing and information",7371413,8547037,9170558,11189936,12430729,15746827,16166687,17987534,16678286,19142580,19894697,18768157,19919258,20224126,22763371,23959858,26021637,"(D)"
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","91","Private goods-producing industries 2/",8982475,9559096,9669791,10618363,12123764,16516555,16536258,17849751,16319397,18133108,19073653,18236086,19049510,19558594,22315680,23573586,25063471,26304298
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","92","Private services-providing industries 3/",43159910,43597486,45406015,46958166,50341359,52694399,56584881,58152476,57441618,60896053,64205647,67884123,70807343,75570027,80477678,83789034,88156827,93876642
